2014-07-07 14:54:13,481 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-49959-1404741253115-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-07 14:54:13,484 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-07 14:54:13,972 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-07 14:54:14,052 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-07 14:54:14,422 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-07 14:56:02,397 | WARN  | Transport Connection to: tcp://127.0.0.1:50075 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50075@61616
2014-07-07 14:57:12,862 | WARN  | Transport Connection to: tcp://127.0.0.1:50193 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50193@61616
2014-07-07 15:00:47,800 | WARN  | Transport Connection to: tcp://127.0.0.1:50328 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50328@61616
2014-07-08 08:54:22,515 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Tue Jul 08 08:54:22 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-08 08:54:23,836 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-07-08 08:54:23,876 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-08 08:54:24,603 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-08 08:54:24,634 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-08 08:54:24,645 | INFO  | Recovery replayed 130 operations from the journal in 0.024 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-08 08:54:24,813 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-62986-1404806064677-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-08 08:54:24,840 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-08 08:54:24,845 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-08 08:54:24,854 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-08 08:54:24,860 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-08 08:54:24,869 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-08 08:54:24,877 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-08 08:54:24,886 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-08 08:54:24,891 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
